epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7304,1.36858,3.61944,1.60434,0.00392,0.77778,0.14742,0.08165,0.75917,3.65856,1.1555,1.429e-05,1.429e-05,1.429e-05
2,34.2288,1.15661,3.53815,1.56369,0.00494,0.77778,0.17029,0.09917,0.77792,3.65007,1.1686,4.24456e-05,4.24456e-05,4.24456e-05
3,43.2514,1.14696,3.35272,1.49514,0.00551,0.66667,0.17936,0.11076,0.85438,3.6303,1.23707,7.00353e-05,7.00353e-05,7.00353e-05
4,52.2986,1.20092,3.329,1.50427,0.006,0.77778,0.20865,0.15028,0.8396,3.63854,1.19353,9.70591e-05,9.70591e-05,9.70591e-05
5,66.0353,1.00779,3.18337,1.42694,0.00592,0.77778,0.20131,0.16169,0.81131,3.67654,1.14432,0.000123517,0.000123517,0.000123517
6,82.8151,0.86665,3.17479,1.31665,0.00518,0.77778,0.15765,0.12172,0.90347,3.67622,1.20217,0.000149409,0.000149409,0.000149409
7,98.7556,0.88236,3.16022,1.28005,0.0048,0.77778,0.16284,0.12414,1.06091,3.6614,1.30859,0.000174735,0.000174735,0.000174735
8,112.826,0.77719,3.00891,1.19158,0.00475,0.77778,0.17769,0.14227,1.01974,3.64565,1.29205,0.000199496,0.000199496,0.000199496
9,121.173,0.79334,3.0971,1.21448,0.00494,0.77778,0.19701,0.1584,0.91027,3.68331,1.16443,0.00022369,0.00022369,0.00022369
10,129.821,0.79663,3.02003,1.15927,0.00497,0.77778,0.20661,0.16313,0.82404,3.67664,1.07525,0.000247318,0.000247318,0.000247318
11,138.249,0.79656,2.95854,1.21292,0.00518,0.77778,0.17197,0.13541,0.77306,3.68055,1.08158,0.000270381,0.000270381,0.000270381
12,146.867,0.89362,2.94518,1.28808,0.00533,0.77778,0.19136,0.14234,0.73971,3.6798,1.06328,0.000292878,0.000292878,0.000292878
13,154.829,0.80749,3.02443,1.29685,0.00586,0.77778,0.19145,0.14417,0.71561,3.63425,1.05507,0.000314809,0.000314809,0.000314809
14,163.1,0.89972,2.79721,1.20406,0.00604,0.77778,0.21851,0.149,0.68081,3.63498,1.0405,0.000336174,0.000336174,0.000336174
15,171.196,0.8874,2.6914,1.26714,0.00631,0.77778,0.28364,0.18377,0.64275,3.66296,0.99615,0.000356973,0.000356973,0.000356973
16,179.486,0.92463,2.74045,1.34179,0.0077,0.77778,0.29345,0.2031,0.66148,3.67837,0.99718,0.000377206,0.000377206,0.000377206
17,187.614,0.97628,2.74804,1.38038,0.01001,0.77778,0.30217,0.17746,0.75042,3.70921,1.04065,0.000396873,0.000396873,0.000396873
18,196.632,0.94039,2.51652,1.25164,0.01267,0.77778,0.28808,0.1828,0.83173,3.74089,1.09399,0.000415975,0.000415975,0.000415975
19,208.153,0.93277,2.41232,1.27596,0.01902,0.77778,0.24559,0.18335,0.92341,3.71084,1.24519,0.00043451,0.00043451,0.00043451
20,221.21,0.82135,2.49527,1.18206,0.01868,0.66667,0.19602,0.15346,1.05514,3.74232,1.40264,0.00045248,0.00045248,0.00045248
21,234.409,0.81458,2.4045,1.23408,0.04412,0.61111,0.18509,0.13588,1.24138,3.92237,1.46787,0.000469884,0.000469884,0.000469884
22,244.92,0.95635,2.42675,1.25022,0.01916,0.5,0.14746,0.0921,1.53062,4.01778,1.65153,0.000486722,0.000486722,0.000486722
23,253.378,0.88652,2.43169,1.20067,0.05619,0.5,0.14539,0.10929,1.76603,4.11215,1.74578,0.000502994,0.000502994,0.000502994
24,262.126,0.86638,2.32794,1.24144,0.04826,0.5,0.15923,0.10465,1.86401,4.1446,1.79691,0.0005187,0.0005187,0.0005187
25,270.455,0.85437,2.23751,1.2129,0.04412,0.61111,0.34303,0.19901,1.77107,4.10042,1.77226,0.00053384,0.00053384,0.00053384
26,278.708,0.87736,2.07286,1.22581,0.02446,0.61111,0.29809,0.14747,1.75751,4.04834,1.78183,0.000548414,0.000548414,0.000548414
27,287.208,0.87685,2.13101,1.24127,0.02261,0.72222,0.28236,0.20184,1.23096,3.90103,1.47488,0.000562423,0.000562423,0.000562423
28,295.606,1.00573,2.09133,1.32775,0.02261,0.72222,0.28236,0.20184,1.23096,3.90103,1.47488,0.000575866,0.000575866,0.000575866
29,305.157,0.90458,1.94664,1.21915,0.01888,0.77778,0.36438,0.24335,1.03552,3.74527,1.36161,0.000588742,0.000588742,0.000588742
30,313.363,0.89816,1.93188,1.23573,0.01396,0.77778,0.30984,0.23903,1.00622,3.73306,1.28033,0.000601053,0.000601053,0.000601053
31,321.203,0.79811,1.85537,1.21049,0.01396,0.77778,0.30984,0.23903,1.00622,3.73306,1.28033,0.000612798,0.000612798,0.000612798
32,329.575,0.75111,1.77291,1.16531,0.01098,0.77778,0.27438,0.19982,0.94123,3.72986,1.18843,0.000623977,0.000623977,0.000623977
33,337.66,0.73332,1.72837,1.13454,0.00815,0.77778,0.17586,0.13179,0.98697,3.72805,1.23626,0.00063459,0.00063459,0.00063459
34,345.686,0.87352,1.70658,1.19565,0.00815,0.77778,0.17586,0.13179,0.98697,3.72805,1.23626,0.000644638,0.000644638,0.000644638
35,353.942,0.9154,1.73321,1.25948,0.00569,0.72222,0.13857,0.11185,1.1091,3.80556,1.38279,0.000654119,0.000654119,0.000654119
36,362.148,1.02065,1.87646,1.41793,0.00485,0.72222,0.10036,0.08411,1.29064,3.85983,1.53839,0.000663035,0.000663035,0.000663035
37,370.082,0.84526,1.5908,1.18326,0.00485,0.72222,0.10036,0.08411,1.29064,3.85983,1.53839,0.000671384,0.000671384,0.000671384
38,378.807,0.82915,1.82341,1.20488,0.00412,0.72222,0.07842,0.06129,1.54555,3.91246,2.01943,0.000679168,0.000679168,0.000679168
39,390.98,0.74776,1.58762,1.12908,0.00384,0.72222,0.08956,0.05012,1.54736,3.91732,1.91171,0.000686386,0.000686386,0.000686386
40,402.681,0.85906,1.65743,1.14993,0.00384,0.72222,0.08956,0.05012,1.54736,3.91732,1.91171,0.000693038,0.000693038,0.000693038
41,414.931,0.77263,1.4286,1.17672,0.00421,0.77778,0.20461,0.08586,1.46686,3.80198,1.86479,0.000699124,0.000699124,0.000699124
42,427.311,0.83904,1.75165,1.21701,0.07627,0.44444,0.18767,0.09561,1.44772,3.59714,2.09839,0.000704644,0.000704644,0.000704644
43,439.713,0.77334,1.51219,1.13917,0.07627,0.44444,0.18767,0.09561,1.44772,3.59714,2.09839,0.000709599,0.000709599,0.000709599
44,452.592,0.83308,1.72844,1.26854,0.39803,0.33333,0.19027,0.09799,1.3587,3.58967,2.06023,0.000713987,0.000713987,0.000713987
45,465.373,0.75503,1.49919,1.13262,0.39803,0.33333,0.19027,0.09799,1.3587,3.58967,2.06023,0.00071781,0.00071781,0.00071781
46,478.248,0.77326,1.46059,1.15517,0.5617,0.38391,0.20499,0.14102,1.245,3.61851,1.69588,0.000721066,0.000721066,0.000721066
47,490.634,0.77814,1.53715,1.11863,0.5617,0.38391,0.20499,0.14102,1.245,3.61851,1.69588,0.000723757,0.000723757,0.000723757
48,503.14,0.84049,1.64885,1.21095,0.57825,0.34614,0.21164,0.16101,1.1152,3.56357,1.44659,0.000725882,0.000725882,0.000725882
49,515.679,0.76556,1.48388,1.18328,0.57825,0.34614,0.21164,0.16101,1.1152,3.56357,1.44659,0.000727441,0.000727441,0.000727441
50,528.272,0.81332,1.58679,1.16216,0.36094,0.33333,0.25486,0.18394,1.15552,3.50486,1.48877,0.000728434,0.000728434,0.000728434
51,540.835,0.77103,1.52921,1.22045,0.36094,0.33333,0.25486,0.18394,1.15552,3.50486,1.48877,0.000721645,0.000721645,0.000721645
52,553.592,0.80947,1.44597,1.17385,0.53571,0.22858,0.20511,0.13917,1.20824,3.49615,1.56121,0.000707498,0.000707498,0.000707498
53,565.622,0.78669,1.38778,1.19792,0.53571,0.22858,0.20511,0.13917,1.20824,3.49615,1.56121,0.000693351,0.000693351,0.000693351
54,577.806,0.72462,1.41568,1.20874,0.00451,0.88889,0.39775,0.37157,1.19541,3.50204,1.50996,0.000679204,0.000679204,0.000679204
55,589.617,0.69737,1.22242,1.12461,0.00451,0.88889,0.39775,0.37157,1.19541,3.50204,1.50996,0.000665057,0.000665057,0.000665057
56,602.007,0.80896,1.39069,1.16981,0.00458,0.88889,0.38344,0.35291,1.31208,3.68829,1.60253,0.000650909,0.000650909,0.000650909
57,614.2,0.77139,1.72326,1.20337,0.00458,0.88889,0.38344,0.35291,1.31208,3.68829,1.60253,0.000636762,0.000636762,0.000636762
58,626.429,0.7669,1.2263,1.12507,0.00418,0.83333,0.39601,0.32674,1.45928,3.77822,1.67761,0.000622615,0.000622615,0.000622615
59,638.379,0.70649,1.34847,1.123,0.00418,0.83333,0.39601,0.32674,1.45928,3.77822,1.67761,0.000608468,0.000608468,0.000608468
60,650.589,0.69695,1.54587,1.18268,0.0037,0.77778,0.19769,0.16733,1.72906,3.67591,1.92032,0.000594321,0.000594321,0.000594321
61,662.555,0.70932,1.26716,1.16793,0.0037,0.77778,0.19769,0.16733,1.72906,3.67591,1.92032,0.000580174,0.000580174,0.000580174
62,675.248,0.7321,1.36786,1.11535,0.0576,0.33333,0.21142,0.13025,1.74669,3.62414,1.87807,0.000566027,0.000566027,0.000566027
63,687.495,0.76923,1.40223,1.17776,0.0576,0.33333,0.21142,0.13025,1.74669,3.62414,1.87807,0.00055188,0.00055188,0.00055188
64,700.262,0.80548,1.21134,1.14347,0.54906,0.38061,0.28305,0.18743,1.42932,3.60658,1.62624,0.000537733,0.000537733,0.000537733
65,712.625,0.73547,1.15318,1.11732,0.54906,0.38061,0.28305,0.18743,1.42932,3.60658,1.62624,0.000523586,0.000523586,0.000523586
66,725.248,0.75109,1.20993,1.13946,0.63029,0.38889,0.34217,0.23177,1.35098,3.4204,1.65601,0.000509438,0.000509438,0.000509438
67,737.745,0.75312,1.31605,1.22246,0.63029,0.38889,0.34217,0.23177,1.35098,3.4204,1.65601,0.000495291,0.000495291,0.000495291
68,750.265,0.68588,1.26513,1.08108,0.84347,0.42868,0.5709,0.43937,1.30963,3.36654,1.58455,0.000481144,0.000481144,0.000481144
69,762.708,0.72589,1.16213,1.11752,0.84347,0.42868,0.5709,0.43937,1.30963,3.36654,1.58455,0.000466997,0.000466997,0.000466997
70,775.245,0.79813,1.27762,1.10283,0.87878,0.42586,0.57877,0.45171,1.34941,3.37811,1.61949,0.00045285,0.00045285,0.00045285
71,787.636,0.76802,1.26976,1.14459,0.87878,0.42586,0.57877,0.45171,1.34941,3.37811,1.61949,0.000438703,0.000438703,0.000438703
72,799.875,0.69278,1.31291,1.13253,0.89965,0.42553,0.57971,0.41956,1.33698,3.32167,1.58047,0.000424556,0.000424556,0.000424556
73,811.824,0.64376,1.13588,1.05978,0.89965,0.42553,0.57971,0.41956,1.33698,3.32167,1.58047,0.000410409,0.000410409,0.000410409
74,824.247,0.72369,1.14663,1.11968,0.66667,0.10058,0.38797,0.261,1.27325,3.32026,1.53295,0.000396262,0.000396262,0.000396262
75,836.129,0.58964,1.22068,1.02888,0.66667,0.10058,0.38797,0.261,1.27325,3.32026,1.53295,0.000382115,0.000382115,0.000382115
76,848.227,0.62783,1.05062,0.97782,0.66667,0.10612,0.32295,0.19467,1.1987,3.28306,1.48217,0.000367967,0.000367967,0.000367967
77,860.187,0.61256,1.04607,1.06981,0.66667,0.10612,0.32295,0.19467,1.1987,3.28306,1.48217,0.00035382,0.00035382,0.00035382
78,872.481,0.66584,1.0681,0.98466,0.66667,0.10696,0.33299,0.20932,1.16054,3.23529,1.41066,0.000339673,0.000339673,0.000339673
79,884.492,0.62917,1.01919,1.06967,0.66667,0.10696,0.33299,0.20932,1.16054,3.23529,1.41066,0.000325526,0.000325526,0.000325526
80,896.611,0.6598,1.12969,1.1085,0.59067,0.19112,0.33262,0.21756,1.13233,3.20067,1.37414,0.000311379,0.000311379,0.000311379
81,908.675,0.62262,1.14656,1.06881,0.59067,0.19112,0.33262,0.21756,1.13233,3.20067,1.37414,0.000297232,0.000297232,0.000297232
82,921.212,0.61338,1.22224,1.10468,0.26393,0.2131,0.34781,0.24647,1.17772,3.20474,1.37228,0.000283085,0.000283085,0.000283085
83,933.713,0.66618,1.04468,1.03345,0.26393,0.2131,0.34781,0.24647,1.17772,3.20474,1.37228,0.000268938,0.000268938,0.000268938
84,946.456,0.52629,1.0778,1.01601,0.66292,0.55556,0.38378,0.25884,1.21714,3.19098,1.36572,0.000254791,0.000254791,0.000254791
85,958.834,0.76684,1.44358,1.25726,0.66292,0.55556,0.38378,0.25884,1.21714,3.19098,1.36572,0.000240644,0.000240644,0.000240644
86,971.519,0.55503,0.99572,1.0277,0.81956,0.45903,0.61356,0.45655,1.30478,3.08948,1.42972,0.000226497,0.000226497,0.000226497
87,984.033,0.57712,1.01225,1.02834,0.81956,0.45903,0.61356,0.45655,1.30478,3.08948,1.42972,0.000212349,0.000212349,0.000212349
88,997.022,0.63175,1.09852,1.05118,0.85188,0.46252,0.61078,0.42257,1.33306,2.92203,1.45594,0.000198202,0.000198202,0.000198202
89,1009.6,0.6165,1.17717,1.10356,0.85188,0.46252,0.61078,0.42257,1.33306,2.92203,1.45594,0.000184055,0.000184055,0.000184055
90,1022.75,0.5903,1.01377,1.10159,0.83552,0.49162,0.6036,0.40956,1.34788,2.88946,1.46893,0.000169908,0.000169908,0.000169908
91,1035.5,0.51737,1.16567,0.99833,0.83552,0.49162,0.6036,0.40956,1.34788,2.88946,1.46893,0.000155761,0.000155761,0.000155761
92,1047.86,0.5051,1.27233,0.99866,0.84621,0.52384,0.61004,0.44613,1.34391,2.91398,1.42455,0.000141614,0.000141614,0.000141614
93,1060.13,0.47695,1.30963,0.96079,0.84621,0.52384,0.61004,0.44613,1.34391,2.91398,1.42455,0.000127467,0.000127467,0.000127467
94,1072.59,0.48344,1.23522,0.99888,0.8386,0.55556,0.61659,0.4494,1.32327,2.87245,1.4017,0.00011332,0.00011332,0.00011332
95,1084.52,0.49003,1.28366,0.99835,0.8386,0.55556,0.61659,0.4494,1.32327,2.87245,1.4017,9.91726e-05,9.91726e-05,9.91726e-05
96,1096.72,0.46807,1.2418,0.99597,0.82519,0.55556,0.62544,0.46367,1.29788,2.84874,1.38295,8.50255e-05,8.50255e-05,8.50255e-05
97,1108.59,0.48554,1.23638,0.99163,0.82519,0.55556,0.62544,0.46367,1.29788,2.84874,1.38295,7.08784e-05,7.08784e-05,7.08784e-05
98,1120.57,0.45778,1.18108,0.88341,0.82248,0.55556,0.64109,0.48856,1.30017,2.81763,1.40506,5.67313e-05,5.67313e-05,5.67313e-05
99,1132.5,0.4583,1.11104,0.99439,0.82248,0.55556,0.64109,0.48856,1.30017,2.81763,1.40506,4.25842e-05,4.25842e-05,4.25842e-05
100,1144.66,0.41136,1.08951,1.02226,0.81178,0.55556,0.64472,0.48711,1.29675,2.82781,1.41264,2.84371e-05,2.84371e-05,2.84371e-05
